Guinea maize,1007
Milo,1007
"Sorghums, including grain sorghum",1007
Buckwheat,1008
Canary seed,1008
Millets,1008
Flour - Wheat and other cereals - Wheat or meslin,1101
Flour - Wheat and other cereals - Others,1102
Groats,1103
Meal - Cereal,1103
Semolina,1103
Flour - Potato,1105
Meal - Potato,1105
"Potato flakes, granules, powder",1105
Flour - Arrowroot,1106
"Flour - Fruit, edible",1106
Flour - Leguminous vegetable,1106
Flour - Manioc,1106
Flour - Sago,1106
Flour - Salep,1106
"Fruit, edible, including peel and nuts - Flours of",1106
"Manioc, flour and meal",1106
Meal - Arrowroot,1106
Meal - Manioc,1106
Meal - Sago,1106
Meal - Salep,1106
Sago - Flour and meal,1106
Salep flour and meal,1106
"Vegetables, edible - Flour, meal and flakes of","1106, 1105"
Flour - Malt,1107
Malt,1107
Inulin,1108
Sago - Starch,1108
Starches,1108
Flour - Gluten,1109
Gluten (Wheat),1109
Wheat gluten,1109
Beans - Soya,1201
Hops,1201
Soya beans,1201
Groundnuts,1202
Copra,1203
Flax - Seed,1204
Linseed,1204
Rape seed,1205
Sunflower seed,1206
Castor seed,1207
Cotton seed,1207
Illipe nuts,1207
Mustard - Seed,1207
Palm nuts and kernels,1207
Poppy seed,1207
Sesamum seed,1207
Tung nuts,1207
"Flour - Of oil seeds and oleaginous fruit, non-defatted (excluding mustard flour)",1208
"Meal - Of oil seeds and oleaginous fruit, non-defatted (excluding mustard flour)",1208
Soya bean flour (non-defatted),1208
Alfalfa (lucerne) seed,1209
Alsike seed,1209
Beet seeds,1209
Clover seed and seed of clover-like plants,1209
Flower seed,1209
Forest-tree seeds,1209
Grass seed,1209
Kohlrabi seeds,1209
Lucerne seed,1209
Rye-grass seed,1209
"Seeds - Vegetable, other than leguminous",1209
Timothy grass seed,1209
Trefoil seed,1209
Lupulin,1210
Angostura bark,1211
"Bark, cinchona",1211
"Bark, for use in perfumery, pharmacy, insecticides, etc",1211
Cinchona bark,1211
Ginseng roots,1211
Ipecacuanha root,1211
Liquorice - Root,1211
"Plants for use in perfumery, pharmacy,insecticides, etc",1211
"Roots for use in perfumery, pharmacy,insecticides, etc",1211
Tonquin (tonka) beans,"1211, 1212"
Pyrethrum,"1211, 1302"
Apricot kernels,1212
"Beans - Locust, whole, kibbled or ground",1212
"Kelp, raw",1212
"Kernels, fruit",1212
"Locust beans, whole, or ground",1212
Peach kernels,1212
"Seaweed, raw",1212
Sugar beet and sugar cane,1212
Algae,"1212, 2102, 3006"
Cereal husks,1213
Cereal straws,1213
"Husks, cereal",1213
